dimensions,dtype,index_dtype,size,block_size,compress,negate,add,multiply,dot,norm2,mean,variance,cosine_similarity,structural_similarity,decompress
3,float16,int8,64,16,0.00026726722717285156,6.4849853515625e-06,9.927749633789062e-05,1.0156631469726563e-05,0.00013113021850585938,6.303787231445312e-05,9.26971435546875e-05,0.00011186599731445312,0.00014548301696777345,0.0007174015045166016,0.0002017974853515625
3,float16,int8,128,16,0.000604248046875,6.532669067382812e-06,0.00010099411010742188,1.010894775390625e-05,0.00013508796691894532,6.494522094726562e-05,9.412765502929688e-05,0.00011172294616699219,0.00014715194702148439,0.0007226467132568359,0.00022835731506347655
3,float16,int8,256,16,0.003681039810180664,6.532669067382812e-06,0.00027956962585449217,1.0013580322265625e-05,0.0007160663604736328,0.0002833366394042969,0.00013031959533691407,0.00026121139526367185,0.0004932880401611328,0.0015420913696289062,0.0004168510437011719
3,float16,int8,512,16,0.02835502624511719,6.866455078125e-06,0.00195927619934082,1.0204315185546874e-05,0.005457115173339844,0.002012014389038086,0.0005750656127929688,0.0014310836791992187,0.003257131576538086,0.008532142639160157,0.002212238311767578
3,float16,int8,1024,16,0.2301108121871948,1.049041748046875e-05,0.015317678451538086,1.1539459228515625e-05,0.04321694374084473,0.01553964614868164,0.004007148742675781,0.010600614547729491,0.024881792068481446,0.06285133361816406,0.016213226318359374
3,float16,int8,2048,16,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
3,float16,int8,4096,16,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
3,float16,int8,8192,16,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
4,float16,int8,4,4,0.0002450227737426758,6.866455078125e-06,0.000103759765625,9.918212890625e-06,0.000121307373046875,5.655288696289062e-05,9.088516235351562e-05,0.00010161399841308593,0.00012879371643066407,0.0006892204284667969,0.00020122528076171875
4,float16,int8,8,4,0.00025126934051513674,6.4849853515625e-06,0.00010080337524414063,1.0967254638671875e-05,0.00012383460998535156,5.6791305541992185e-05,9.236335754394531e-05,0.00010399818420410156,0.00013108253479003905,0.0007006645202636719,0.00021777153015136718
4,float16,int8,16,4,0.0002774477005004883,6.628036499023438e-06,0.0001018524169921875,1.0013580322265625e-05,0.00013327598571777344,6.084442138671875e-05,9.317398071289063e-05,0.00010690689086914062,0.00013518333435058594,0.0007070064544677735,0.00024733543395996096
4,float16,int8,32,4,0.0003302812576293945,6.4849853515625e-06,0.00010075569152832032,9.72747802734375e-06,0.0001342296600341797,6.394386291503906e-05,9.517669677734375e-05,0.00011219978332519532,0.00014715194702148439,0.0007223129272460937,0.00030336380004882815
4,float16,int8,64,4,0.001419973373413086,6.67572021484375e-06,0.0002991676330566406,1.0347366333007812e-05,0.0007112503051757812,0.00028228759765625,0.00013899803161621094,0.00025815963745117186,0.0005025863647460938,0.0015772342681884765,0.0005712032318115235
4,float16,int8,128,4,0.026161551475524902,8.153915405273438e-06,0.004266166687011718,1.0919570922851562e-05,0.010832881927490235,0.003923988342285157,0.0011322498321533203,0.0027350902557373045,0.0065419673919677734,0.016842746734619142,0.004866790771484375
4,float16,int8,256,4,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
4,float16,int8,512,4,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
4,float16,int8,1024,4,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
4,float16,int8,2048,4,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
4,float16,int8,4096,4,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
4,float16,int8,8192,4,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM,OOM
4,float16,int8,8,8,0.0002675771713256836,7.009506225585937e-06,0.00010333061218261718,1.02996826171875e-05,0.00012421607971191406,5.7363510131835936e-05,9.288787841796876e-05,0.00010528564453125,0.00013251304626464843,0.0007026195526123047,0.00020694732666015625
4,float16,int8,16,8,0.0002840280532836914,6.818771362304688e-06,0.00010266304016113282,1.02996826171875e-05,0.0001330852508544922,6.227493286132812e-05,9.450912475585937e-05,0.00010581016540527344,0.00013647079467773437,0.0007032394409179687,0.0002178192138671875
4,float16,int8,32,8,0.00039050579071044924,6.580352783203125e-06,0.0001026153564453125,1.049041748046875e-05,0.00013456344604492187,6.341934204101562e-05,9.388923645019532e-05,0.00011196136474609376,0.0001483440399169922,0.0007250785827636718,0.0002510547637939453
